Country,Region,Oil Gas,Production source,Upstream Downstream,Reason,Abatement technology,Abatement Potential,Abatement Cost
Thailand,Asia Pacific,Oil,Onshore conventional oil,Upstream,Vented,Blowdown capture,0.0,-5.170000076293945
OASEAN9,Asia Pacific,Oil,Onshore conventional oil,Upstream,Vented,Blowdown capture,0.0,-5.170000076293945
India,Asia Pacific,Gas,Unconventional gas,Upstream,Fugitive,Upstream LDAR,2.700000047683716,-5.150000095367432
India,Asia Pacific,Gas,Onshore conventional gas,Upstream,Fugitive,Upstream LDAR,3.930000066757202,-5.150000095367432
India,Asia Pacific,Oil,Onshore conventional oil,Upstream,Fugitive,Upstream LDAR,2.8499999046325684,-5.150000095367432
OASEAN9,Asia Pacific,Gas,Onshore conventional gas,Upstream,Fugitive,Upstream LDAR,0.2399999946355819,-5.119999885559082
Malaysia,Asia Pacific,Oil,Onshore conventional oil,Upstream,Fugitive,Upstream LDAR,0.0700000002980232,-5.119999885559082
Thailand,Asia Pacific,Gas,Onshore conventional gas,Upstream,Fugitive,Upstream LDAR,0.8999999761581421,-5.119999885559082
Other,Asia Pacific,Oil,Offshore oil,Upstream,Vented,Replace with instrument air systems,2.3299999237060547,-5.119999885559082
Pakistan,Asia Pacific,Gas,Onshore conventional gas,Upstream,Vented,Replace pumps,4.829999923706055,-5.119999885559082
Pakistan,Asia Pacific,Gas,Unconventional gas,Upstream,Vented,Replace pumps,0.1299999952316284,-5.119999885559082
Bangladesh,Asia Pacific,Gas,Onshore conventional gas,Upstream,Vented,Replace pumps,6.099999904632568,-5.119999885559082
Brunei,Asia Pacific,Oil,Onshore conventional oil,Upstream,Fugitive,Upstream LDAR,0.050000000745058,-5.119999885559082
Brunei,Asia Pacific,Gas,Onshore conventional gas,Upstream,Fugitive,Upstream LDAR,0.0799999982118606,-5.119999885559082
OASEAN9,Asia Pacific,Oil,Onshore conventional oil,Upstream,Fugitive,Upstream LDAR,0.0399999991059303,-5.119999885559082
Other,Asia Pacific,Gas,Downstream gas,Downstream,Vented,Replace with instrument air systems,1.5,-5.119999885559082
Other,Asia Pacific,Gas,Offshore gas,Upstream,Vented,Replace with instrument air systems,0.6700000166893005,-5.119999885559082
Thailand,Asia Pacific,Oil,Onshore conventional oil,Upstream,Fugitive,Upstream LDAR,0.3600000143051147,-5.119999885559082
Bangladesh,Asia Pacific,Oil,Onshore conventional oil,Upstream,Vented,Blowdown capture,0.0,-5.110000133514404
Pakistan,Asia Pacific,Oil,Onshore conventional oil,Upstream,Vented,Blowdown capture,0.0099999997764825,-5.110000133514404
Other,Asia Pacific,Oil,Unconventional oil,Upstream,Vented,Blowdown capture,0.0,-5.090000152587891
Other,Asia Pacific,Oil,Onshore conventional oil,Upstream,Vented,Blowdown capture,0.0199999995529651,-5.090000152587891
China,Asia Pacific,Gas,Onshore conventional gas,Upstream,Fugitive,Upstream LDAR,66.31999969482422,-5.079999923706055
China,Asia Pacific,Oil,Onshore conventional oil,Upstream,Fugitive,Upstream LDAR,23.950000762939453,-5.079999923706055
China,Asia Pacific,Gas,Unconventional gas,Upstream,Fugitive,Upstream LDAR,66.13999938964844,-5.079999923706055
Other,Asia Pacific,Gas,Onshore conventional gas,Upstream,Vented,Replace pumps,1.950000047683716,-5.03000020980835
Other,Asia Pacific,Gas,Unconventional gas,Upstream,Vented,Replace pumps,0.0199999995529651,-5.03000020980835
India,Asia Pacific,Oil,Offshore oil,Upstream,Fugitive,Upstream LDAR,2.4100000858306885,-4.929999828338623
India,Asia Pacific,Gas,Offshore gas,Upstream,Fugitive,Upstream LDAR,10.140000343322754,-4.929999828338623
Pakistan,Asia Pacific,Gas,Downstream gas,Downstream,Vented,Replace with instrument air systems,0.7400000095367432,-4.889999866485596
Bangladesh,Asia Pacific,Gas,Downstream gas,Downstream,Vented,Replace with instrument air systems,0.6299999952316284,-4.889999866485596
Thailand,Asia Pacific,Gas,Offshore gas,Upstream,Fugitive,Upstream LDAR,8.859999656677246,-4.880000114440918
Malaysia,Asia Pacific,Oil,Offshore oil,Upstream,Fugitive,Upstream LDAR,3.470000028610229,-4.880000114440918
OASEAN9,Asia Pacific,Oil,Offshore oil,Upstream,Fugitive,Upstream LDAR,0.050000000745058,-4.880000114440918
OASEAN9,Asia Pacific,Gas,Offshore gas,Upstream,Fugitive,Upstream LDAR,8.640000343322754,-4.880000114440918
Brunei,Asia Pacific,Oil,Offshore oil,Upstream,Fugitive,Upstream LDAR,0.4600000083446502,-4.880000114440918
Vietnam,Asia Pacific,Gas,Offshore gas,Upstream,Fugitive,Upstream LDAR,4.28000020980835,-4.880000114440918
Vietnam,Asia Pacific,Oil,Offshore oil,Upstream,Fugitive,Upstream LDAR,1.6100000143051147,-4.880000114440918
Brunei,Asia Pacific,Gas,Offshore gas,Upstream,Fugitive,Upstream LDAR,3.3399999141693115,-4.880000114440918
Thailand,Asia Pacific,Oil,Offshore oil,Upstream,Fugitive,Upstream LDAR,1.2899999618530271,-4.880000114440918
Philippines,Asia Pacific,Oil,Offshore oil,Upstream,Fugitive,Upstream LDAR,0.1899999976158142,-4.880000114440918
Philippines,Asia Pacific,Gas,Offshore gas,Upstream,Fugitive,Upstream LDAR,1.659999966621399,-4.880000114440918
Malaysia,Asia Pacific,Gas,Offshore gas,Upstream,Fugitive,Upstream LDAR,19.65999984741211,-4.880000114440918
Japan,Asia Pacific,Gas,Onshore conventional gas,Upstream,Fugitive,Upstream LDAR,1.0399999618530271,-4.869999885559082
Japan,Asia Pacific,Oil,Onshore conventional oil,Upstream,Fugitive,Upstream LDAR,0.0399999991059303,-4.869999885559082
China,Asia Pacific,Gas,Offshore gas,Upstream,Fugitive,Upstream LDAR,5.170000076293945,-4.809999942779541
China,Asia Pacific,Oil,Offshore oil,Upstream,Fugitive,Upstream LDAR,4.139999866485596,-4.809999942779541
Other,Asia Pacific,Gas,Onshore conventional gas,Upstream,Fugitive,Upstream LDAR,7.869999885559082,-4.670000076293945
Other,Asia Pacific,Oil,Unconventional oil,Upstream,Fugitive,Upstream LDAR,0.0,-4.670000076293945
Other,Asia Pacific,Gas,Unconventional gas,Upstream,Fugitive,Upstream LDAR,0.0700000002980232,-4.670000076293945
Other,Asia Pacific,Oil,Onshore conventional oil,Upstream,Fugitive,Upstream LDAR,1.899999976158142,-4.670000076293945
China,Asia Pacific,Gas,Onshore conventional gas,Upstream,Vented,Blowdown capture,37.630001068115234,-4.599999904632568
China,Asia Pacific,Gas,Unconventional gas,Upstream,Vented,Blowdown capture,37.59000015258789,-4.599999904632568
India,Asia Pacific,Gas,Onshore conventional gas,Upstream,Vented,Blowdown capture,2.3499999046325684,-4.579999923706055
India,Asia Pacific,Gas,Unconventional gas,Upstream,Vented,Blowdown capture,1.6200000047683716,-4.579999923706055
Thailand,Asia Pacific,Gas,Onshore conventional gas,Upstream,Vented,Blowdown capture,0.5400000214576721,-4.579999923706055
OASEAN9,Asia Pacific,Gas,Onshore conventional gas,Upstream,Vented,Blowdown capture,0.1400000005960464,-4.579999923706055
Brunei,Asia Pacific,Gas,Onshore conventional gas,Upstream,Vented,Blowdown capture,0.050000000745058,-4.579999923706055
India,Asia Pacific,Oil,Onshore conventional oil,Upstream,Fugitive,Upstream LDAR,1.4199999570846558,-4.559999942779541
India,Asia Pacific,Gas,Unconventional gas,Upstream,Fugitive,Upstream LDAR,1.350000023841858,-4.559999942779541
India,Asia Pacific,Gas,Onshore conventional gas,Upstream,Fugitive,Upstream LDAR,1.9600000381469729,-4.559999942779541
Vietnam,Asia Pacific,Oil,Offshore oil,Upstream,Incomplete-flare,Vapour recovery units,15.1899995803833,-4.519999980926514
Vietnam,Asia Pacific,Oil,Onshore conventional oil,Upstream,Incomplete-flare,Vapour recovery units,1.0,-4.519999980926514
Brunei,Asia Pacific,Gas,Onshore conventional gas,Upstream,Fugitive,Upstream LDAR,0.0399999991059303,-4.510000228881836
Brunei,Asia Pacific,Oil,Onshore conventional oil,Upstream,Fugitive,Upstream LDAR,0.0199999995529651,-4.510000228881836
OASEAN9,Asia Pacific,Oil,Onshore conventional oil,Upstream,Fugitive,Upstream LDAR,0.0199999995529651,-4.510000228881836
Thailand,Asia Pacific,Oil,Onshore conventional oil,Upstream,Fugitive,Upstream LDAR,0.1800000071525573,-4.510000228881836
OASEAN9,Asia Pacific,Gas,Onshore conventional gas,Upstream,Fugitive,Upstream LDAR,0.1199999973177909,-4.510000228881836
Malaysia,Asia Pacific,Oil,Onshore conventional oil,Upstream,Fugitive,Upstream LDAR,0.0399999991059303,-4.510000228881836
Thailand,Asia Pacific,Gas,Onshore conventional gas,Upstream,Fugitive,Upstream LDAR,0.449999988079071,-4.510000228881836
Vietnam,Asia Pacific,Gas,Offshore gas,Upstream,Vented,Replace compressor seal or rod,0.0099999997764825,-4.5
Vietnam,Asia Pacific,Oil,Offshore oil,Upstream,Vented,Replace compressor seal or rod,0.0,-4.5
China,Asia Pacific,Oil,Offshore oil,Upstream,Vented,Replace compressor seal or rod,0.0099999997764825,-4.489999771118164
China,Asia Pacific,Gas,Offshore gas,Upstream,Vented,Replace compressor seal or rod,0.0099999997764825,-4.489999771118164
Malaysia,Asia Pacific,Oil,Onshore conventional oil,Upstream,Incomplete-flare,Vapour recovery units,6.329999923706055,-4.480000019073486
Malaysia,Asia Pacific,Oil,Offshore oil,Upstream,Incomplete-flare,Vapour recovery units,49.09999847412109,-4.480000019073486
China,Asia Pacific,Oil,Onshore conventional oil,Upstream,Incomplete-flare,Vapour recovery units,41.68999862670898,-4.46999979019165
China,Asia Pacific,Oil,Unconventional oil,Upstream,Incomplete-flare,Vapour recovery units,0.0299999993294477,-4.46999979019165
China,Asia Pacific,Oil,Offshore oil,Upstream,Incomplete-flare,Vapour recovery units,10.829999923706056,-4.46999979019165
Malaysia,Asia Pacific,Gas,Offshore gas,Upstream,Vented,Replace compressor seal or rod,0.0299999993294477,-4.460000038146973
Malaysia,Asia Pacific,Oil,Offshore oil,Upstream,Vented,Replace compressor seal or rod,0.0099999997764825,-4.460000038146973
Pakistan,Asia Pacific,Gas,Unconventional gas,Upstream,Vented,Blowdown capture,0.3400000035762787,-4.449999809265137
Pakistan,Asia Pacific,Gas,Onshore conventional gas,Upstream,Vented,Blowdown capture,12.270000457763672,-4.449999809265137
Bangladesh,Asia Pacific,Gas,Onshore conventional gas,Upstream,Vented,Blowdown capture,15.510000228881836,-4.449999809265137
China,Asia Pacific,Gas,Onshore conventional gas,Upstream,Fugitive,Upstream LDAR,33.15999984741211,-4.420000076293945
China,Asia Pacific,Oil,Onshore conventional oil,Upstream,Fugitive,Upstream LDAR,11.970000267028809,-4.420000076293945
China,Asia Pacific,Gas,Unconventional gas,Upstream,Fugitive,Upstream LDAR,33.06999969482422,-4.420000076293945
Other,Asia Pacific,Gas,Onshore conventional gas,Upstream,Vented,Blowdown capture,4.460000038146973,-4.409999847412109
Other,Asia Pacific,Gas,Unconventional gas,Upstream,Vented,Blowdown capture,0.0399999991059303,-4.409999847412109
Philippines,Asia Pacific,Oil,Offshore oil,Upstream,Incomplete-flare,Vapour recovery units,2.0299999713897705,-4.369999885559082
Philippines,Asia Pacific,Oil,Onshore conventional oil,Upstream,Incomplete-flare,Vapour recovery units,0.7300000190734863,-4.369999885559082
Thailand,Asia Pacific,Oil,Onshore conventional oil,Upstream,Incomplete-flare,Vapour recovery units,4.420000076293945,-4.360000133514404
Thailand,Asia Pacific,Oil,Offshore oil,Upstream,Incomplete-flare,Vapour recovery units,3.0999999046325684,-4.360000133514404
Philippines,Asia Pacific,Oil,Offshore oil,Upstream,Vented,Replace compressor seal or rod,0.0,-4.340000152587891
Philippines,Asia Pacific,Gas,Offshore gas,Upstream,Vented,Replace compressor seal or rod,0.0,-4.340000152587891
OASEAN9,Asia Pacific,Oil,Onshore conventional oil,Upstream,Incomplete-flare,Vapour recovery units,0.25,-4.329999923706055
Thailand,Asia Pacific,Oil,Offshore oil,Upstream,Vented,Replace compressor seal or rod,0.0,-4.329999923706055
Thailand,Asia Pacific,Gas,Offshore gas,Upstream,Vented,Replace compressor seal or rod,0.0099999997764825,-4.329999923706055
OASEAN9,Asia Pacific,Oil,Offshore oil,Upstream,Incomplete-flare,Vapour recovery units,0.4000000059604645,-4.329999923706055
OASEAN9,Asia Pacific,Oil,Offshore oil,Upstream,Vented,Replace compressor seal or rod,0.0,-4.300000190734863
OASEAN9,Asia Pacific,Gas,Offshore gas,Upstream,Vented,Replace compressor seal or rod,0.0099999997764825,-4.300000190734863
India,Asia Pacific,Oil,Offshore oil,Upstream,Incomplete-flare,Vapour recovery units,14.760000228881836,-4.28000020980835
India,Asia Pacific,Oil,Onshore conventional oil,Upstream,Incomplete-flare,Vapour recovery units,16.209999084472656,-4.28000020980835
Brunei,Asia Pacific,Oil,Offshore oil,Upstream,Incomplete-flare,Vapour recovery units,4.239999771118164,-4.269999980926514
Brunei,Asia Pacific,Oil,Onshore conventional oil,Upstream,Incomplete-flare,Vapour recovery units,0.4900000095367431,-4.269999980926514
Indonesia,Asia Pacific,Oil,Onshore conventional oil,Upstream,Vented,Blowdown capture,0.050000000745058,-4.25
Brunei,Asia Pacific,Oil,Offshore oil,Upstream,Vented,Replace compressor seal or rod,0.0,-4.230000019073486
India,Asia Pacific,Oil,Offshore oil,Upstream,Vented,Replace compressor seal or rod,0.0099999997764825,-4.230000019073486
Other,Asia Pacific,Oil,Offshore oil,Upstream,Fugitive,Upstream LDAR,1.75,-4.230000019073486
Brunei,Asia Pacific,Gas,Offshore gas,Upstream,Vented,Replace compressor seal or rod,0.0099999997764825,-4.230000019073486
India,Asia Pacific,Gas,Offshore gas,Upstream,Vented,Replace compressor seal or rod,0.0199999995529651,-4.230000019073486
Other,Asia Pacific,Gas,Offshore gas,Upstream,Fugitive,Upstream LDAR,2.470000028610229,-4.230000019073486
Other,Asia Pacific,Gas,Offshore gas,Upstream,Vented,Replace compressor seal or rod,0.0,-4.210000038146973
Indonesia,Asia Pacific,Gas,Onshore conventional gas,Upstream,Vented,Replace pumps,3.880000114440918,-4.210000038146973
Other,Asia Pacific,Oil,Offshore oil,Upstream,Vented,Replace compressor seal or rod,0.0,-4.210000038146973
Indonesia,Asia Pacific,Gas,Unconventional gas,Upstream,Vented,Replace pumps,0.0099999997764825,-4.210000038146973
India,Asia Pacific,Oil,Onshore conventional oil,Upstream,Fugitive,Upstream LDAR,1.0700000524520874,-4.170000076293945
India,Asia Pacific,Gas,Onshore conventional gas,Upstream,Fugitive,Upstream LDAR,1.4700000286102295,-4.170000076293945
India,Asia Pacific,Gas,Unconventional gas,Upstream,Fugitive,Upstream LDAR,1.0099999904632568,-4.170000076293945
India,Asia Pacific,Gas,Downstream gas,Downstream,Vented,Other,27.68000030517578,-4.159999847412109
India,Asia Pacific,Oil,Offshore oil,Upstream,Fugitive,Upstream LDAR,1.2000000476837158,-4.150000095367432
India,Asia Pacific,Gas,Offshore gas,Upstream,Fugitive,Upstream LDAR,5.070000171661377,-4.150000095367432
Brunei,Asia Pacific,Gas,Onshore conventional gas,Upstream,Fugitive,Upstream LDAR,0.0299999993294477,-4.110000133514404
Brunei,Asia Pacific,Oil,Onshore conventional oil,Upstream,Fugitive,Upstream LDAR,0.0199999995529651,-4.110000133514404
Thailand,Asia Pacific,Oil,Onshore conventional oil,Upstream,Fugitive,Upstream LDAR,0.1299999952316284,-4.110000133514404
OASEAN9,Asia Pacific,Gas,Onshore conventional gas,Upstream,Fugitive,Upstream LDAR,0.0900000035762786,-4.110000133514404
OASEAN9,Asia Pacific,Oil,Onshore conventional oil,Upstream,Fugitive,Upstream LDAR,0.0199999995529651,-4.110000133514404
Thailand,Asia Pacific,Gas,Onshore conventional gas,Upstream,Fugitive,Upstream LDAR,0.3400000035762787,-4.110000133514404
Malaysia,Asia Pacific,Oil,Onshore conventional oil,Upstream,Fugitive,Upstream LDAR,0.0299999993294477,-4.110000133514404
Malaysia,Asia Pacific,Oil,Offshore oil,Upstream,Fugitive,Upstream LDAR,1.7300000190734863,-4.079999923706055
Thailand,Asia Pacific,Gas,Offshore gas,Upstream,Fugitive,Upstream LDAR,4.429999828338623,-4.079999923706055
OASEAN9,Asia Pacific,Oil,Offshore oil,Upstream,Fugitive,Upstream LDAR,0.0199999995529651,-4.079999923706055
OASEAN9,Asia Pacific,Gas,Offshore gas,Upstream,Fugitive,Upstream LDAR,4.320000171661377,-4.079999923706055
Brunei,Asia Pacific,Oil,Offshore oil,Upstream,Fugitive,Upstream LDAR,0.2300000041723251,-4.079999923706055
Thailand,Asia Pacific,Oil,Offshore oil,Upstream,Fugitive,Upstream LDAR,0.6399999856948853,-4.079999923706055
Philippines,Asia Pacific,Gas,Offshore gas,Upstream,Fugitive,Upstream LDAR,0.8299999833106995,-4.079999923706055
Philippines,Asia Pacific,Oil,Offshore oil,Upstream,Fugitive,Upstream LDAR,0.0900000035762786,-4.079999923706055
Malaysia,Asia Pacific,Gas,Offshore gas,Upstream,Fugitive,Upstream LDAR,9.829999923706056,-4.079999923706055
Brunei,Asia Pacific,Gas,Offshore gas,Upstream,Fugitive,Upstream LDAR,1.6699999570846558,-4.079999923706055
Vietnam,Asia Pacific,Gas,Offshore gas,Upstream,Fugitive,Upstream LDAR,2.140000104904175,-4.079999923706055
Vietnam,Asia Pacific,Oil,Offshore oil,Upstream,Fugitive,Upstream LDAR,0.8100000023841858,-4.079999923706055
Bangladesh,Asia Pacific,Oil,Onshore conventional oil,Upstream,Fugitive,Upstream LDAR,0.1000000014901161,-4.070000171661377
Pakistan,Asia Pacific,Gas,Onshore conventional gas,Upstream,Fugitive,Upstream LDAR,20.5,-4.070000171661377
Pakistan,Asia Pacific,Gas,Unconventional gas,Upstream,Fugitive,Upstream LDAR,0.5699999928474426,-4.070000171661377
Pakistan,Asia Pacific,Oil,Onshore conventional oil,Upstream,Fugitive,Upstream LDAR,1.2599999904632568,-4.070000171661377
Bangladesh,Asia Pacific,Gas,Onshore conventional gas,Upstream,Fugitive,Upstream LDAR,25.920000076293945,-4.070000171661377
Other,Asia Pacific,Oil,Unconventional oil,Upstream,Incomplete-flare,Vapour recovery units,0.0,-4.039999961853027
Other,Asia Pacific,Oil,Offshore oil,Upstream,Incomplete-flare,Vapour recovery units,11.720000267028809,-4.039999961853027
Other,Asia Pacific,Oil,Onshore conventional oil,Upstream,Incomplete-flare,Vapour recovery units,11.140000343322754,-4.039999961853027
Indonesia,Asia Pacific,Oil,Offshore oil,Upstream,Vented,Replace with instrument air systems,1.4500000476837158,-4.019999980926514
Indonesia,Asia Pacific,Gas,Downstream gas,Downstream,Vented,Replace with instrument air systems,0.5199999809265137,-4.019999980926514
Indonesia,Asia Pacific,Gas,Offshore gas,Upstream,Vented,Replace with instrument air systems,5.130000114440918,-4.019999980926514
Japan,Asia Pacific,Oil,Offshore oil,Upstream,Fugitive,Upstream LDAR,0.0,-4.010000228881836
Japan,Asia Pacific,Gas,Offshore gas,Upstream,Fugitive,Upstream LDAR,0.0700000002980232,-4.010000228881836
China,Asia Pacific,Oil,Onshore conventional oil,Upstream,Fugitive,Upstream LDAR,8.979999542236328,-3.990000009536743
China,Asia Pacific,Gas,Onshore conventional gas,Upstream,Fugitive,Upstream LDAR,24.8700008392334,-3.990000009536743
China,Asia Pacific,Gas,Unconventional gas,Upstream,Fugitive,Upstream LDAR,24.799999237060547,-3.990000009536743
Japan,Asia Pacific,Gas,Offshore gas,Upstream,Vented,Vapour recovery units,0.0399999991059303,-3.9700000286102295
China,Asia Pacific,Gas,Offshore gas,Upstream,Fugitive,Upstream LDAR,2.5899999141693115,-3.940000057220459
China,Asia Pacific,Oil,Offshore oil,Upstream,Fugitive,Upstream LDAR,2.069999933242798,-3.940000057220459
Japan,Asia Pacific,Oil,Offshore oil,Upstream,Vented,Vapour recovery units,0.0099999997764825,-3.880000114440918
OASEAN9,Asia Pacific,Gas,Downstream gas,Downstream,Vented,Other,8.5600004196167,-3.869999885559082
Thailand,Asia Pacific,Gas,Downstream gas,Downstream,Vented,Other,16.059999465942383,-3.869999885559082
Brunei,Asia Pacific,Gas,Downstream gas,Downstream,Vented,Other,0.8799999952316284,-3.869999885559082
Vietnam,Asia Pacific,Gas,Downstream gas,Downstream,Vented,Other,4.210000038146973,-3.869999885559082
Malaysia,Asia Pacific,Gas,Downstream gas,Downstream,Vented,Other,12.220000267028809,-3.869999885559082
Philippines,Asia Pacific,Gas,Downstream gas,Downstream,Vented,Other,1.840000033378601,-3.869999885559082
Other,Asia Pacific,Gas,Onshore conventional gas,Upstream,Fugitive,Upstream LDAR,3.930000066757202,-3.7200000286102295
Other,Asia Pacific,Oil,Onshore conventional oil,Upstream,Fugitive,Upstream LDAR,0.949999988079071,-3.7200000286102295
Other,Asia Pacific,Gas,Unconventional gas,Upstream,Fugitive,Upstream LDAR,0.0299999993294477,-3.7200000286102295
Other,Asia Pacific,Oil,Unconventional oil,Upstream,Fugitive,Upstream LDAR,0.0,-3.7200000286102295
Thailand,Asia Pacific,Oil,Onshore conventional oil,Upstream,Vented,Replace pumps,0.5,-3.7100000381469727
Malaysia,Asia Pacific,Oil,Onshore conventional oil,Upstream,Vented,Replace pumps,0.1000000014901161,-3.7100000381469727
OASEAN9,Asia Pacific,Oil,Onshore conventional oil,Upstream,Vented,Replace pumps,0.0599999986588954,-3.7100000381469727
Brunei,Asia Pacific,Oil,Onshore conventional oil,Upstream,Vented,Replace pumps,0.0700000002980232,-3.7100000381469727
India,Asia Pacific,Gas,Offshore gas,Upstream,Fugitive,Upstream LDAR,3.799999952316284,-3.630000114440918
India,Asia Pacific,Oil,Offshore oil,Upstream,Fugitive,Upstream LDAR,0.8999999761581421,-3.630000114440918
Indonesia,Asia Pacific,Gas,Unconventional gas,Upstream,Vented,Blowdown capture,0.0199999995529651,-3.609999895095825
Indonesia,Asia Pacific,Gas,Onshore conventional gas,Upstream,Vented,Blowdown capture,9.760000228881836,-3.609999895095825
Vietnam,Asia Pacific,Gas,Offshore gas,Upstream,Vented,Vapour recovery units,2.559999942779541,-3.5999999046325684
Brunei,Asia Pacific,Oil,Offshore oil,Upstream,Fugitive,Upstream LDAR,0.1700000017881393,-3.539999961853028
OASEAN9,Asia Pacific,Gas,Offshore gas,Upstream,Fugitive,Upstream LDAR,3.240000009536743,-3.539999961853028
OASEAN9,Asia Pacific,Oil,Offshore oil,Upstream,Fugitive,Upstream LDAR,0.0199999995529651,-3.539999961853028
