Country,Region,Type (Oil/Gas),Production Source,Segment (Up/Down),Abatement Technology,Abatement Potential,Abatement Cost
Bahrain,Middle East,Gas,Onshore conventional gas,Upstream,Replace pumps,2.58,-4.5
Syria,Middle East,Gas,Onshore conventional gas,Upstream,Replace pumps,1.16,-4.5
Other,Asia Pacific,Gas,Onshore conventional gas,Upstream,Install plunger,0.2,-4.5
Oman,Middle East,Gas,Onshore conventional gas,Upstream,Replace pumps,4.55,-4.5
Oman,Middle East,Gas,Unconventional gas,Upstream,Replace pumps,3.49,-4.5
Qatar,Middle East,Gas,Onshore conventional gas,Upstream,Replace pumps,0.26,-4.5
Saudi Arabia,Middle East,Gas,Unconventional gas,Upstream,Replace pumps,0.71,-4.5
Saudi Arabia,Middle East,Gas,Onshore conventional gas,Upstream,Replace pumps,4.85,-4.5
Yemen,Middle East,Gas,Onshore conventional gas,Upstream,Replace pumps,0.01,-4.5
United Arab Emirates,Middle East,Gas,Onshore conventional gas,Upstream,Replace pumps,4.42,-4.5
Senegal,Africa,Gas,Offshore gas,Upstream,Replace pumps,0,-4.49
Senegal,Africa,Gas,Onshore conventional gas,Upstream,Replace pumps,0,-4.49
Senegal,Africa,Gas,Unconventional gas,Upstream,Replace pumps,0,-4.49
Nigeria,Africa,Gas,Onshore conventional gas,Upstream,Replace pumps,7.82,-4.49
Tanzania,Africa,Gas,Offshore gas,Upstream,Replace pumps,0.13,-4.49
Tanzania,Africa,Gas,Unconventional gas,Upstream,Replace pumps,0.13,-4.49
Tanzania,Africa,Gas,Onshore conventional gas,Upstream,Replace pumps,0.13,-4.49
Angola,Africa,Gas,Onshore conventional gas,Upstream,Replace pumps,0.4,-4.49
Cameroon,Africa,Gas,Onshore conventional gas,Upstream,Replace pumps,0.01,-4.49
Congo,Africa,Gas,Onshore conventional gas,Upstream,Replace pumps,0.06,-4.49
Mozambique,Africa,Gas,Onshore conventional gas,Upstream,Replace pumps,1.08,-4.49
Gabon,Africa,Gas,Onshore conventional gas,Upstream,Replace pumps,0.08,-4.49
Niger,Africa,Oil,Offshore oil,Upstream,Replace pumps,0.01,-4.47
Other EU17 countries,Europe,Oil,Downstream oil,Downstream,Replace with electric motor,1.26,-4.46
Other EU7 countries,Europe,Oil,Downstream oil,Downstream,Replace with electric motor,0.08,-4.46
Russia,Russia & Caspian,Gas,Downstream gas,Downstream,Replace with instrument air systems,15.42,-4.46
Russia,Russia & Caspian,Gas,Offshore gas,Upstream,Replace with instrument air systems,8.4,-4.46
Russia,Russia & Caspian,Oil,Offshore oil,Upstream,Replace with instrument air systems,13.83,-4.46
Romania,Europe,Oil,Downstream oil,Downstream,Replace with electric motor,0.21,-4.46
Italy,Europe,Oil,Downstream oil,Downstream,Replace with electric motor,0.37,-4.46
United Kingdom,Europe,Oil,Downstream oil,Downstream,Replace with electric motor,0.16,-4.46
Bangladesh,Asia Pacific,Gas,Onshore conventional gas,Upstream,Upstream LDAR,5.96,-4.45
Bangladesh,Asia Pacific,Oil,Onshore conventional oil,Upstream,Upstream LDAR,0.03,-4.45
Pakistan,Asia Pacific,Oil,Onshore conventional oil,Upstream,Upstream LDAR,0.79,-4.45
Pakistan,Asia Pacific,Gas,Unconventional gas,Upstream,Upstream LDAR,0.47,-4.45
Pakistan,Asia Pacific,Gas,Onshore conventional gas,Upstream,Upstream LDAR,12.47,-4.45
Other countries in Europe,Europe,Gas,Unconventional gas,Upstream,Upstream LDAR,0.02,-4.44
Other countries in Europe,Europe,Gas,Onshore conventional gas,Upstream,Upstream LDAR,0.13,-4.44
Other countries in Europe,Europe,Oil,Onshore conventional oil,Upstream,Upstream LDAR,0.24,-4.44
Poland,Europe,Gas,Offshore gas,Upstream,Upstream LDAR,0.01,-4.44
Poland,Europe,Oil,Offshore oil,Upstream,Upstream LDAR,0.02,-4.44
South Africa,Africa,Oil,Offshore oil,Upstream,Upstream LDAR,0.01,-4.44
South Africa,Africa,Gas,Offshore gas,Upstream,Upstream LDAR,0.19,-4.44
Algeria,Africa,Gas,Onshore conventional gas,Upstream,Replace pumps,21.22,-4.44
Algeria,Africa,Gas,Unconventional gas,Upstream,Replace pumps,0.5,-4.44
Egypt,Africa,Gas,Unconventional gas,Upstream,Replace pumps,0.32,-4.44
Egypt,Africa,Gas,Onshore conventional gas,Upstream,Replace pumps,1.5900000000000000,-4.44
France,Europe,Oil,Downstream oil,Downstream,Replace with electric motor,0.38,-4.44
Morocco,North Africa,Gas,Offshore gas,Upstream,Replace pumps,0.01,-4.44
Morocco,North Africa,Gas,Onshore conventional gas,Upstream,Replace pumps,0.01,-4.44
Morocco,North Africa,Gas,Unconventional gas,Upstream,Replace pumps,0.01,-4.44
Libya,Africa,Gas,Onshore conventional gas,Upstream,Replace pumps,2.29,-4.44
Ukraine,Europe,Gas,Offshore gas,Upstream,Upstream LDAR,0.39,-4.44
Tunisia,Africa,Gas,Onshore conventional gas,Upstream,Replace pumps,0.18,-4.44
Japan,Asia Pacific,Oil,Onshore conventional oil,Upstream,Upstream LDAR,0.01,-4.43
Japan,Asia Pacific,Gas,Onshore conventional gas,Upstream,Upstream LDAR,0.33,-4.43
China,Asia Pacific,Oil,Offshore oil,Upstream,Upstream LDAR,1.8200000000000000,-4.43
China,Asia Pacific,Gas,Offshore gas,Upstream,Upstream LDAR,1.69,-4.43
Azerbaijan,Russia & Caspian,Oil,Offshore oil,Upstream,Vapour recovery units,5.44,-4.43
Azerbaijan,Russia & Caspian,Oil,Onshore conventional oil,Upstream,Vapour recovery units,0.82,-4.43
Kazakhstan,Russia & Caspian,Oil,Offshore oil,Upstream,Vapour recovery units,13.18,-4.42
Kazakhstan,Russia & Caspian,Oil,Onshore conventional oil,Upstream,Vapour recovery units,63.51,-4.42
Germany,Europe,Oil,Downstream oil,Downstream,Replace with electric motor,0.51,-4.42
South Africa,Africa,Gas,Offshore gas,Upstream,Replace pumps,2.75,-4.42
Vietnam,Asia Pacific,Gas,Downstream gas,Downstream,Replace with electric motor,2.39,-4.42
Uzbekistan,Russia & Caspian,Oil,Onshore conventional oil,Upstream,Vapour recovery units,29.26,-4.42
South Africa,Africa,Oil,Onshore conventional oil,Upstream,Replace pumps,2.75,-4.41
South Africa,Africa,Oil,Unconventional oil,Upstream,Replace pumps,2.75,-4.41
Denmark,Europe,Oil,Downstream oil,Downstream,Replace with electric motor,0.03,-4.41
Brazil,Central and South America,Oil,Offshore oil,Upstream,Upstream LDAR,13.72,-4.4
Brazil,Central and South America,Gas,Offshore gas,Upstream,Upstream LDAR,6.95,-4.4
Uzbekistan,Russia & Caspian,Oil,Satellite - downstream,Downstream,Downstream LDAR,4.16,-4.39
Azerbaijan,Russia & Caspian,Gas,Onshore conventional gas,Upstream,Blowdown capture,0.13,-4.38
Kazakhstan,Russia & Caspian,Gas,Onshore conventional gas,Upstream,Blowdown capture,34.36,-4.38
Peru,Central and South America,Oil,Offshore oil,Upstream,Vapour recovery units,0.28,-4.38
Uzbekistan,Russia & Caspian,Gas,Onshore conventional gas,Upstream,Blowdown capture,31.77,-4.38
Turkmenistan,Russia & Caspian,Gas,Onshore conventional gas,Upstream,Blowdown capture,149.83,-4.38
Morocco,North Africa,Oil,Offshore oil,Upstream,Replace with instrument air systems,0.33,-4.37
Guyana,Latin America,Oil,Offshore oil,Upstream,Upstream LDAR,1.26,-4.36
Argentina,Central and South America,Oil,Offshore oil,Upstream,Upstream LDAR,0.05,-4.36
Argentina,Central and South America,Gas,Offshore gas,Upstream,Upstream LDAR,4.5600000000000000,-4.36
Cuba,Central and South America,Oil,Offshore oil,Upstream,Upstream LDAR,0.06,-4.36
Ecuador,Central and South America,Gas,Offshore gas,Upstream,Upstream LDAR,0.28,-4.36
Colombia,Central and South America,Gas,Offshore gas,Upstream,Upstream LDAR,0.79,-4.36
Peru,Central and South America,Oil,Offshore oil,Upstream,Upstream LDAR,0.04,-4.36
Peru,Central and South America,Gas,Offshore gas,Upstream,Upstream LDAR,0.01,-4.36
Trinidad and Tobago,Central and South America,Oil,Offshore oil,Upstream,Upstream LDAR,0.46,-4.36
Trinidad and Tobago,Central and South America,Gas,Offshore gas,Upstream,Upstream LDAR,15.49,-4.36
Venezuela,Central and South America,Gas,Offshore gas,Upstream,Upstream LDAR,6.18,-4.36
Venezuela,Central and South America,Oil,Offshore oil,Upstream,Upstream LDAR,3.13,-4.36
Russia,Russia & Caspian,Gas,Unconventional gas,Upstream,Blowdown capture,10.67,-4.35
Russia,Russia & Caspian,Gas,Onshore conventional gas,Upstream,Blowdown capture,301.93,-4.35
Azerbaijan,Russia & Caspian,Gas,Offshore gas,Upstream,Replace compressor seal or rod,0.02,-4.34
Azerbaijan,Russia & Caspian,Oil,Offshore oil,Upstream,Replace compressor seal or rod,0.02,-4.34
Israel,Europe,Gas,Offshore gas,Upstream,Upstream LDAR,2.96,-4.34
Malaysia,Asia Pacific,Gas,Downstream gas,Downstream,Replace with electric motor,6.63,-4.34
Kazakhstan,Russia & Caspian,Gas,Offshore gas,Upstream,Replace compressor seal or rod,0.01,-4.33
Kazakhstan,Russia & Caspian,Oil,Offshore oil,Upstream,Replace compressor seal or rod,0.02,-4.33
Morocco,North Africa,Oil,Offshore oil,Upstream,Replace pumps,0.01,-4.32
Netherlands,Europe,Gas,Onshore conventional gas,Upstream,Upstream LDAR,0.1,-4.32
